legacy_id,tree,namespace,subtype,status,source_license,licence_verdict,licence_reason,nearest_bundle_unit,content_cosine,nearest_by_slug,slug_jaccard,disposition,disposition_reason
@E01/ref-site-dashboard,modules,@E01,reference-site,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/example-vercel-sidebar,0.079,@community/example-stripe-dashboard,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/ref-site-data-viz,modules,@E01,reference-site,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/pattern-inline-validation,0.054,@community/rule-data-viz-accessible,0.4,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/ref-site-marketing,modules,@E01,reference-site,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/feedback-stripe-redesign-2024,0.068,@community/example-tailwindui-marketing,0.25,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@E01/ref-site-portfolio,modules,@E01,reference-site,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/principle-tone-calibration,0.061,,0.0,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/anti-pattern-all-caps-body,modules,@M01,anti-pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/rule-typography-letter-spacing,0.155,@community/rule-body-readability,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.155 away — genuinely absent knowledge
@M01/anti-pattern-arbitrary-sizes,modules,@M01,anti-pattern,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-consistent-design-token-scale,0.163,,0.0,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/anti-pattern-centered-long-text,modules,@M01,anti-pattern,validated,Good UI,BLOCKED-NO-GRANT,Good UI: commercial product; same,@community/rule-content-width-constrained,0.123,@community/anti-pattern-text-in-image,0.25,REJECT,Good UI: commercial product; same
@M01/anti-pattern-fixed-line-height-i18n,modules,@M01,anti-pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/fact-line-height-readability,0.137,@community/fact-line-height-readability,0.4,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.137 away — genuinely absent knowledge
@M01/anti-pattern-generic-ai-fonts,modules,@M01,anti-pattern,validated,Anthropic,BLOCKED-NO-GRANT,Anthropic: vendor material with no grant recorded,@community/anti-pattern-ai-slop-aesthetics,0.185,@anthropic-impeccable/principle-ai-slop-test,0.2,REJECT,Anthropic: vendor material with no grant recorded
@M01/anti-pattern-justified-web-text,modules,@M01,anti-pattern,validated,Good UI,BLOCKED-NO-GRANT,Good UI: commercial product; same,@community/rule-no-justified-text-narrow,0.355,@community/rule-no-justified-text-narrow,0.5,REJECT,Good UI: commercial product; same
@M01/anti-pattern-tiny-text,modules,@M01,anti-pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/anti-pattern-thin-weight-body,0.142,@community/anti-pattern-text-in-image,0.333,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.142 away — genuinely absent knowledge
@M01/anti-pattern-too-many-fonts,modules,@M01,anti-pattern,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-monospace-purpose,0.095,,0.0,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/anti-pattern-truncate-paragraph,modules,@M01,anti-pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/pattern-breadcrumb-trail,0.122,,0.0,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.122 away — genuinely absent knowledge
@M01/anti-pattern-uniform-body-size,modules,@M01,anti-pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-no-uniform-spacing-without-variation,0.139,@community/metric-target-size,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.139 away — genuinely absent knowledge
@M01/avoid-pure-black-text,modules,@M01,heuristic,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/constraint-no-pure-black-text,0.186,@community/constraint-no-pure-black-text,0.75,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/avoid-thin-weights-body,modules,@M01,constraint,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/anti-pattern-thin-weight-body,0.296,@community/anti-pattern-thin-weight-body,0.4,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/body-size-range,modules,@M01,pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/tradeoff-density-vs-comfort,0.109,@community/metric-target-size,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.109 away — genuinely absent knowledge
@M01/body-text-minimum-16px,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/category-typography-scale,0.133,@community/rule-body-readability,0.2,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/cjk-character-density,modules,@M01,concept,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/rule-cjk-line-break,0.156,@community/rule-cjk-line-break,0.2,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/cjk-font-size-step-2px,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/category-typography-scale,0.154,@impeccable/constraint-font-blacklist,0.167,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.154 away — genuinely absent knowledge
@M01/cjk-font-stack-chinese,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-web-safe-fallback-stack,0.162,@impeccable/template-toast-stack,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.162 away — genuinely absent knowledge
@M01/cjk-font-stack-japanese,modules,@M01,pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/persona-tokyo-minimal,0.143,@impeccable/template-toast-stack,0.2,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/cjk-font-stack-korean,modules,@M01,pattern,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/persona-tokyo-minimal,0.107,@impeccable/template-toast-stack,0.2,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/cjk-font-stack-mixed-language,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-cjk-line-break,0.14,@impeccable/template-toast-stack,0.167,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.14 away — genuinely absent knowledge
@M01/cjk-font-weight-windows-limit,modules,@M01,threshold,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/anti-pattern-thin-weight-body,0.154,@community/rule-font-weight-not-style,0.286,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.154 away — genuinely absent knowledge
@M01/cjk-line-height-formula,modules,@M01,mandate,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-cjk-line-break,0.129,@community/rule-cjk-line-break,0.4,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.129 away — genuinely absent knowledge
@M01/cjk-line-height-stepped-mode,modules,@M01,heuristic,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/fact-line-height-readability,0.085,@community/rule-cjk-line-break,0.333,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.085 away — genuinely absent knowledge
@M01/cjk-mixed-numeral-alignment,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/constraint-monospace-tabular-numerics,0.167,@community/rule-no-mixed-visual-languages,0.167,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.167 away — genuinely absent knowledge
@M01/cjk-no-letter-spacing,modules,@M01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@community/rule-typography-letter-spacing,0.198,@community/rule-typography-letter-spacing,0.4,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/contrast-minimum-body,modules,@M01,threshold,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@w3c/fact-wcag-contrast-aa,0.246,@community/rule-prefers-contrast,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.246 away — genuinely absent knowledge
@M01/deemphasize-dont-emphasize,modules,@M01,heuristic,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-refactoring-ui-hierarchy,0.154,,0.0,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/deemphasize-secondary-links,modules,@M01,heuristic,validated,Good UI,BLOCKED-NO-GRANT,Good UI: commercial product; same,@community/taxonomy-cta-styles,0.13,@community/rule-kpi-card-secondary-variation,0.167,REJECT,Good UI: commercial product; same
@M01/distinctive-vs-refined-balance,modules,@M01,heuristic,validated,Anthropic,BLOCKED-NO-GRANT,Anthropic: vendor material with no grant recorded,@community/fact-anthropic-brand-typography,0.124,@community/fact-transitions-vs-animations,0.167,REJECT,Anthropic: vendor material with no grant recorded
@M01/font-blacklist-ai-slop,modules,@M01,constraint,validated,,BLOCKED-UNDECLARED,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it,@impeccable/constraint-font-blacklist,0.193,@impeccable/constraint-font-blacklist,0.5,REJECT,prime-corpus.yaml sets requireDeclared: true; the unit states no source.license so no set can legally claim it
@M01/font-pairing-display-body,modules,@M01,principle,validated,Anthropic,BLOCKED-NO-GRANT,Anthropic: vendor material with no grant recorded,@anthropic-impeccable/principle-font-pairing-contrast,0.143,@anthropic-impeccable/principle-font-pairing-contrast,0.4,REJECT,Anthropic: vendor material with no grant recorded
@M01/font-size-step-tiers,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/fact-type-scale-modular,0.175,@community/metric-target-size,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.175 away — genuinely absent knowledge
@M01/font-superfamily-pattern,modules,@M01,pattern,validated,Anthropic,BLOCKED-NO-GRANT,Anthropic: vendor material with no grant recorded,@community/check-font-blacklist-applied,0.157,@impeccable/constraint-font-blacklist,0.333,REJECT,Anthropic: vendor material with no grant recorded
@M01/heading-not-always-larger,modules,@M01,heuristic,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-refactoring-ui-hierarchy,0.142,@community/check-heading-hierarchy,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.142 away — genuinely absent knowledge
@M01/heading-scale-mobile-reduction,modules,@M01,principle,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/category-typography-scale,0.185,@community/fact-type-scale-modular,0.2,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/heading-weight-consistency,modules,@M01,mandate,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/principle-typography-hierarchy,0.169,@community/fact-consistency-standards,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.169 away — genuinely absent knowledge
@M01/hierarchy-size-weight-color-trio,modules,@M01,principle,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-refactoring-ui-hierarchy,0.143,@community/rule-heading-hierarchy,0.167,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/inline-emphasis-weight,modules,@M01,pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/constraint-typography-weight-blacklist,0.117,@community/pattern-inline-validation,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.117 away — genuinely absent knowledge
@M01/labels-data-asymmetry,modules,@M01,pattern,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-refactoring-ui-hierarchy,0.118,@community/principle-data-minimization,0.25,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/letter-spacing-all-caps,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-typography-letter-spacing,0.295,@community/rule-typography-letter-spacing,0.4,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/letter-spacing-large-headings,modules,@M01,heuristic,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-typography-letter-spacing,0.229,@community/rule-typography-letter-spacing,0.4,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/limited-size-scale,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/category-typography-scale,0.115,@community/metric-target-size,0.25,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/line-height-body-1-5,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-line-height-readability,0.163,@community/fact-line-height-readability,0.333,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/line-height-headings-tight,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-line-height-readability,0.178,@community/fact-line-height-readability,0.4,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/line-height-inverse-to-size,modules,@M01,principle,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-line-height-readability,0.16,@community/fact-line-height-readability,0.4,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/line-length-45-75-chars,modules,@M01,threshold,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-line-length-optimal,0.249,@community/value-content-line-length,0.333,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/line-length-line-height-relationship,modules,@M01,heuristic,validated,Good UI,BLOCKED-NO-GRANT,Good UI: commercial product; same,@community/value-content-line-length,0.17,@community/value-content-line-length,0.4,REJECT,Good UI: commercial product; same
@M01/link-underline-inline-vs-standalone,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/pattern-replicate-signature-marketing,0.123,@community/pattern-inline-validation,0.167,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.123 away — genuinely absent knowledge
@M01/max-width-65ch-pattern,modules,@M01,pattern,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/rule-content-width-constrained,0.238,@community/value-focus-outline-width,0.2,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/modular-scale-ratios,modules,@M01,taxonomy,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-type-scale-modular,0.334,@community/fact-type-scale-modular,0.667,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/modular-type-scale,modules,@M01,mandate,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/fact-type-scale-modular,0.199,@community/fact-type-scale-modular,0.667,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/monospace-for-code-only,modules,@M01,mandate,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/fact-monospace-purpose,0.184,@community/fact-monospace-purpose,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.184 away — genuinely absent knowledge
@M01/opacity-based-text-darkmode,modules,@M01,pattern,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@community/rule-ios-semantic-system-colors,0.177,@community/anti-pattern-text-in-image,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.177 away — genuinely absent knowledge
@M01/optional-headings,modules,@M01,heuristic,validated,MIT,ADMISSIBLE,MIT is already on license.policy.allow,@anthropic-impeccable/rule-no-redundant-copy,0.126,@community/rule-no-uniform-spacing-without-headings,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.126 away — genuinely absent knowledge
@M01/paragraph-spacing-75-percent,modules,@M01,threshold,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/fact-line-height-readability,0.164,@community/type-spacing-scale,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.164 away — genuinely absent knowledge
@M01/rem-based-sizing,modules,@M01,principle,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/transform-px-to-rem,0.185,@community/transform-px-to-rem,0.25,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
@M01/right-align-numbers-tables,modules,@M01,pattern,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/constraint-monospace-tabular-numerics,0.16,@community/anti-pattern-magic-numbers,0.2,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.16 away — genuinely absent knowledge
@M01/secondary-truncation-allowed,modules,@M01,heuristic,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/pattern-breadcrumb-trail,0.133,@community/rule-kpi-card-secondary-variation,0.167,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.133 away — genuinely absent knowledge
@M01/semantic-vs-visual-headings,modules,@M01,mandate,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/rule-heading-hierarchy-logical,0.227,@community/rule-semantic-structure-over-visual-positioning,0.286,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.227 away — genuinely absent knowledge
@M01/start-aligned-default,modules,@M01,principle,validated,Apache-2.0,ADMISSIBLE,Apache-2.0 is already on license.policy.allow,@community/fact-bidi-direction,0.161,@community/provocation-accessibility-by-default,0.25,ABSORB,licence clears (ADMISSIBLE) and nearest bundle unit is only cos 0.161 away — genuinely absent knowledge
@M01/start-with-too-much-space,modules,@M01,heuristic,validated,Refactoring UI,BLOCKED-NO-GRANT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed,@community/principle-white-space-as-design-element,0.086,@community/principle-white-space-as-design-element,0.143,REJECT,Refactoring UI: commercial book; excerpt beyond quotation is not licensed
